timestamp,x,y,z
0,-0.95,-1.19,9.85
10,-0.92,-1.19,9.84
20,-0.77,-1.16,9.83
30,-0.57,-1.2,9.93
40,-0.32,-1.2,10.0
50,-0.08,-1.18,9.96
60,0.05,-1.18,9.81
70,0.03,-1.25,9.59
80,-0.11,-1.35,9.3
90,-0.23,-1.4,9.0
100,-0.33,-1.41,8.8
110,-0.35,-1.41,8.73
120,-0.41,-1.39,8.91
130,-0.53,-1.33,9.31
140,-0.58,-1.3,9.64
150,-0.6,-1.27,9.83
160,-0.64,-1.23,9.87
170,-0.82,-1.17,9.75
180,-1.08,-1.19,9.59
190,-1.38,-1.17,9.42
200,-1.63,-1.12,9.3
210,-1.85,-1.05,9.29
220,-1.96,-1.07,9.39
230,-1.9,-1.03,9.49
240,-1.75,-1.03,9.56
250,-1.56,-1.04,9.6
260,-1.3,-1.04,9.57
270,-1.08,-1.05,9.61
280,-0.98,-1.03,9.66
290,-0.98,-1.0,9.68
300,-1.04,-0.98,9.75
310,-1.08,-0.96,9.77
320,-1.11,-0.93,9.79
330,-1.08,-0.97,9.8
340,-0.97,-1.06,9.75
350,-0.8,-1.08,9.78
360,-0.65,-1.07,9.79
370,-0.56,-1.09,9.78
380,-0.54,-1.06,9.77
390,-0.55,-1.06,9.8
400,-0.59,-1.14,9.77
410,-0.57,-1.15,9.69
420,-0.52,-1.16,9.56
430,-0.48,-1.3,9.4
440,-0.48,-1.28,9.29
450,-0.43,-1.37,9.19
460,-0.49,-1.27,9.18
470,-0.48,-1.26,9.11
480,-0.56,-1.25,9.0
490,-0.61,-1.15,8.87
500,-0.7,-1.13,8.68
510,-0.83,-0.92,8.37
520,-0.94,-0.87,7.85
530,-1.26,-0.84,7.19
540,-0.93,-0.83,8.49
550,0.19,-0.29,15.26
560,-0.5,-0.05,15.52
570,-1.48,-0.28,14.88
580,-0.93,-0.19,13.35
590,-0.13,-1.19,9.12
600,0.42,-2.16,6.49
610,-2.72,-1.89,8.03
620,-3.1,-2.2,8.84
630,-2.27,-2.35,9.13
640,-3.09,-2.25,9.75
650,-2.31,-3.81,8.97
660,-1.3,-3.33,8.57
670,-1.61,-4.99,4.87
680,-1.57,-2.69,7.1
690,0.15,-2.48,9.05
700,0.55,-2.36,9.04
710,0.31,-2.65,8.7
720,-0.32,-2.92,8.46
730,-0.02,-3.06,8.53
740,0.44,-2.89,8.56
750,0.78,-2.28,8.84
760,1.59,-2.5,8.37
770,2.56,-2.65,8.92
780,2.91,-2.4,9.92
790,2.51,-2.44,10.26
800,0.96,-2.02,11.05
810,1.55,-1.58,10.88
820,2.49,-1.73,10.17
830,3.73,-1.94,10.02
840,4.56,-1.8,10.09
850,4.96,-1.31,9.98
860,4.86,-0.96,10.74
870,5.75,-0.72,11.04
880,5.45,-0.3,11.48
890,5.31,0.29,11.57
900,6.56,0.31,10.49
910,8.2,0.69,9.5
920,9.25,0.45,9.23
930,8.71,1.32,9.79
940,7.78,1.63,10.28
950,7.6,1.92,10.53
960,7.64,1.42,9.71
970,7.01,1.79,9.85
980,6.01,2.25,10.4
990,5.24,2.75,11.03
1000,5.65,2.99,10.44
