timestamp,x,y,z
0,-0.71,-9.09,4.41
10,-0.43,-9.01,4.5
20,-0.19,-8.94,4.49
30,-0.06,-8.96,4.4
40,-0.02,-8.9,4.32
50,-0.09,-8.91,4.2
60,-0.07,-8.92,3.97
70,-0.11,-8.96,3.68
80,-0.07,-9.02,3.38
90,0.05,-9.12,3.07
100,0.19,-9.17,2.89
110,0.35,-9.24,2.7
120,0.43,-9.25,2.68
130,0.53,-9.24,2.8
140,0.57,-9.25,3.07
150,0.57,-9.18,3.51
160,0.59,-9.11,3.91
170,0.48,-9.05,4.08
180,0.21,-9.02,3.96
190,-0.06,-9.04,3.67
200,-0.16,-9.06,3.3
210,-0.13,-9.1,3.02
220,-0.06,-9.11,2.83
230,0.01,-9.09,2.77
240,0.01,-9.1,2.87
250,0.08,-9.12,3.08
260,0.12,-9.15,3.33
270,0.13,-9.17,3.51
280,-0.05,-9.15,3.64
290,-0.32,-9.09,3.74
300,-0.56,-9.04,3.82
310,-0.64,-8.96,3.96
320,-0.57,-8.93,3.98
330,-0.45,-8.98,3.88
340,-0.25,-9.09,3.63
350,-0.02,-9.19,3.3
360,0.02,-9.23,3.12
370,-0.1,-9.24,3.16
380,-0.32,-9.18,3.37
390,-0.58,-9.08,3.71
400,-0.71,-8.99,4.04
410,-0.61,-8.95,4.24
420,-0.34,-9.06,4.22
430,0.02,-9.17,3.93
440,0.27,-9.28,3.5
450,0.14,-9.28,3.11
460,-0.29,-9.28,2.93
470,-0.72,-9.19,3.05
480,-0.93,-9.1,3.4
490,-0.83,-9.02,3.86
500,-0.5,-9.0,4.19
510,-0.1,-9.02,4.35
520,0.17,-9.0,4.33
530,0.11,-9.0,4.09
540,-0.21,-8.98,3.79
550,-0.64,-8.95,3.5
560,-0.87,-8.94,3.37
570,-0.91,-8.94,3.34
580,-0.73,-8.92,3.43
590,-0.45,-8.93,3.58
600,-0.18,-8.95,3.68
610,0.05,-9.0,3.62
620,0.03,-9.08,3.9
630,-0.04,-9.02,4.26
640,-0.33,-8.94,4.36
650,-0.08,-8.9,5.04
660,-0.24,-8.89,5.66
670,-0.28,-8.98,5.2
680,-0.29,-9.13,4.38
690,0.03,-9.3,4.29
700,-0.87,-9.28,4.13
710,-1.89,-9.24,3.2
720,-2.07,-9.21,2.46
730,-0.89,-9.21,2.11
740,0.23,-9.28,2.03
750,-0.77,-9.04,0.15
760,4.92,-10.36,-4.6
770,4.51,-9.74,-1.69
780,2.45,-8.97,3.32
790,-0.85,-8.26,7.13
800,-1.34,-8.45,5.95
810,-0.66,-8.66,5.52
820,-0.73,-8.67,5.11
830,-0.22,-8.86,4.33
840,0.21,-9.17,3.84
850,-0.1,-9.16,3.63
860,0.05,-9.1,3.57
870,0.29,-9.17,3.63
880,0.57,-9.22,3.66
890,0.45,-9.33,3.74
900,0.36,-9.21,4.09
910,0.37,-9.09,4.4
920,0.41,-9.05,4.24
930,0.47,-9.16,3.93
940,0.27,-9.2,3.67
950,0.26,-9.79,3.54
960,0.06,-9.85,3.2
970,-0.45,-9.88,2.89
980,-0.59,-10.16,2.9
990,-0.4,-9.25,3.54
1000,-0.07,-8.95,4.11
