timestamp,x,y,z
0,-1.7,-0.51,10.02
10,-1.65,-0.5,9.96
20,-1.63,-0.54,9.76
30,-1.59,-0.58,9.55
40,-1.58,-0.63,9.39
50,-1.63,-0.65,9.29
60,-1.64,-0.62,9.2
70,-1.68,-0.57,9.17
80,-1.66,-0.57,9.29
90,-1.59,-0.58,9.48
100,-1.59,-0.59,9.61
110,-1.6,-0.55,9.58
120,-1.66,-0.48,9.49
130,-1.7,-0.43,9.33
140,-1.72,-0.43,9.26
150,-1.73,-0.43,9.25
160,-1.74,-0.41,9.32
170,-1.79,-0.4,9.34
180,-1.88,-0.38,9.35
190,-1.91,-0.36,9.41
200,-1.8,-0.35,9.51
210,-1.73,-0.34,9.68
220,-1.7,-0.3,9.79
230,-1.69,-0.29,9.88
240,-1.69,-0.35,9.88
250,-1.64,-0.41,9.79
260,-1.64,-0.46,9.62
270,-1.73,-0.47,9.46
280,-1.79,-0.48,9.29
290,-1.88,-0.48,9.28
300,-1.87,-0.48,9.4
310,-1.86,-0.46,9.57
320,-1.82,-0.42,9.7
330,-1.78,-0.36,9.75
340,-1.73,-0.34,9.72
350,-1.7,-0.34,9.61
360,-1.62,-0.39,9.53
370,-1.55,-0.43,9.49
380,-1.55,-0.4,9.41
390,-1.58,-0.33,9.39
400,-1.7,-0.22,9.46
410,-1.83,-0.17,9.55
420,-1.78,-0.11,9.68
430,-1.78,-0.15,9.74
440,-1.81,-0.16,9.66
450,-1.8,-0.18,9.47
460,-1.71,-0.27,9.38
470,-1.59,-0.4,9.3
480,-1.47,-0.4,9.3
490,-1.42,-0.4,9.32
500,-1.43,-0.34,9.39
510,-1.49,-0.25,9.55
520,-1.52,-0.17,9.71
530,-1.56,-0.13,9.74
540,-1.58,-0.15,9.64
550,-1.52,-0.16,9.47
560,-1.46,-0.26,9.33
570,-1.46,-0.37,9.25
580,-1.43,-0.34,9.25
590,-1.46,-0.35,9.27
600,-1.47,-0.33,9.3
610,-1.48,-0.33,9.45
620,-1.47,-0.29,9.62
630,-1.43,-0.34,9.7
640,-1.39,-0.37,9.7
650,-1.32,-0.4,9.67
660,-1.29,-0.46,9.59
670,-1.2,-0.56,9.63
680,-1.16,-0.62,9.64
690,-1.11,-0.67,9.67
700,-1.1,-0.67,9.71
710,-1.13,-0.63,9.77
720,-1.18,-0.57,9.78
730,-1.23,-0.54,9.72
740,-1.23,-0.53,9.61
750,-1.22,-0.52,9.55
760,-1.19,-0.51,9.41
770,-1.15,-0.51,9.35
780,-1.16,-0.54,9.32
790,-0.97,-0.54,9.7
800,-0.89,-0.61,10.43
810,-1.07,-0.51,10.15
820,-1.01,-0.49,10.1
830,-0.99,-0.57,10.08
840,-0.94,-0.56,9.78
850,-1.11,-0.54,9.59
860,-1.47,-0.49,8.74
870,-1.49,-0.56,8.2
880,-1.41,-0.55,8.14
890,-1.36,-0.51,8.5
900,-1.24,-0.47,9.25
910,-0.79,-0.87,10.08
920,-0.27,-0.52,10.43
930,-0.04,-0.33,9.79
940,-0.91,-0.5,9.99
950,-0.96,-0.35,10.41
960,-0.96,-0.14,10.72
970,-1.03,0.06,10.66
980,-1.08,0.02,10.29
990,-1.25,-0.16,9.91
1000,-1.41,-0.22,9.62
